PID,Type,SMILES,density_MD,density_MD_std,n_repeat_vdw,vdw,FFV,CH4,CH4_log10
Perm31,Vinyl and Vinylidene Polymers,*CC(*)C1=CC=CC=C1,0.93663776549,0.008922554794418,10,0.6157732721851792,0.2502165477796105,0.785,-0.10513034325474745
Perm32,Vinyl and Vinylidene Polymers,*CC(*)C1=CC=NC=C1,0.97336577416,0.008691466969402,10,0.5865062227392136,0.2578493913899242,0.14,-0.8538719643217619
Perm43,Polyolefins,*CC*,0.82327293345,0.0068578127448763,10,0.7390009453481338,0.2090806810711943,3.85,0.5854607295085007
Perm47,Polyolefins,*CCCC*,0.80672828915,0.0069503337906589,10,0.7297147522939875,0.2347140062086619,13.0,1.1139433523068367
Perm48,Hydrocarbon Elastomers,*CCCC=C*,0.83400736073,0.0091666463462852,10,0.699714826641877,0.2413624894193862,430.0,2.6334684555795866
Perm50,Thermally Rearranged Polymers,*CCCCO*,0.96258500444,0.0082079745978977,10,0.6437989045757015,0.1943754771546906,22.5,1.3521825181113625
Perm59,Polyimides and Polypyrrolones,*N1C(=O)C2=C(C=C(C(OC3=CC=CC=C3)=C2)C2=C(OC3=CC=CC=C3)C=C3C(=O)N(C(=O)C3=C2)C2=CC=C(CC3=CC=C(*)C=C3)C=C2)C1=O,1.1066155250000005,0.0073504300151979,10,0.5129379828932871,0.262087324198535,0.85,-0.07058107428570728
Perm60,Polyimides and Polypyrrolones,*N1C(=O)C2=C(C=C(C(OC3=CC=CC=C3)=C2)C2=C(OC3=CC=CC=C3)C=C3C(=O)N(C(=O)C3=C2)C2=CC=C(OC3=CC=C(*)C=C3)C=C2)C1=O,1.1301375914999998,0.0083390544451776,10,0.5035459936608724,0.2602008665690157,0.85,-0.07058107428570728
Perm61,Polyimides and Polypyrrolones,*N1C(=O)C2=C(C=C(C=C2)C(=O)C2=CC=C3C(=O)N(C(=O)C3=C2)C2=CC(*)=CC=C2)C1=O,1.2129779362,0.0074051835102737,10,0.4821971577503697,0.2396371327755859,0.0086,-2.065501548756432
Perm65,Polyimides and Polypyrrolones,*N1C(=O)C2=C(C=C(C=C2)C2=CC=C3C(=O)N(C(=O)C3=C2)C2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C1=O,1.2212393922000002,0.006565249454903,10,0.4779612425744546,0.241183373410181,0.0399,-1.3990271043132518
Perm66,Polyimides and Polypyrrolones,*N1C(=O)C2=C(C=C(C=C2)C2=CC=C3C(=O)N(C(=O)C3=C2)C2=CC=C(CC3=CC=C(*)C=C3)C=C2)C1=O,1.1692202049,0.0071123390473972,10,0.507243982510131,0.2289961128857762,0.0205,-1.6882461389442456
Perm67,Polyimides and Polypyrrolones,*N1C(=O)C2=C(C=C(C=C2)C2=CC=C3C(=O)N(C(=O)C3=C2)C2=CC=C(OC3=CC=C(*)C=C3)C=C2)C1=O,1.1776905628,0.0067508761362361,10,0.4944583958256607,0.2429853176005602,0.026,-1.585026652029182
Perm68,Polyimides and Polypyrrolones,*N1C(=O)C2=C(C=C(C=C2)C2=CC=C3C(=O)N(C(=O)C3=C2)C2=CC=C(OC3=CC=C(C=C3)S(=O)(=O)C3=CC=C(OC4=CC=C(*)C=C4)C=C3)C=C2)C1=O,1.2031160243,0.0068571331703194,10,0.4892246651732577,0.2348277556014268,0.0397,-1.401209493236885
Perm69,Polyimides and Polypyrrolones,*N1C(=O)C2=C(C=C(C=C2)C2=CC=C3C(=O)N(C(=O)C3=C2)C2=CC=C(OC3=CC=C(OC4=CC=C(OC5=CC=C(*)C=C5)C=C4)C=C3)C=C2)C1=O,1.2059586132,0.0071573228454079,10,0.5034500894147224,0.210718036860207,0.0305,-1.5157001606532141
Perm70,Polyimides and Polypyrrolones,*N1C(=O)C2=C(C=C(C=C2)C2=CC=C3C(=O)N(C(=O)C3=C2)C2=CC=C(SC3=CC=C(*)C=C3)C=C2)C1=O,1.2107778849000002,0.0067305803181628,10,0.4904032552689661,0.2280997589885761,0.0164,-1.785156151952302
Perm75,Polyimides and Polypyrrolones,*N1C(=O)C2=C(C=C(OC3=CC=C4C(=O)N(C(=O)C4=C3)C3=CC(*)=CC=C3)C=C2)C1=O,1.2361239312,0.0074154988334295,10,0.4799723139791554,0.2287031572900033,0.0064,-2.193820026016113
Perm80,Polyimides and Polypyrrolones,*N1C(=O)C2=C(C=C3C(=C2)S(=O)(=O)C2=C(C=C4C(=O)N(C(=O)C4=C2)C2=CC=C(OC4=CC=C(*)C=C4)C=C2)S3(=O)=O)C1=O,1.1698866932999998,0.0069138610416487,10,0.4451187658714369,0.3230399225295541,0.18,-0.744727494896694
Perm87,Polyimides and Polypyrrolones,*N1C(=O)C2=CC=C(C=C2C1=O)C(=O)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(OC2=CC=C(*)C=C2)C=C1,1.2035022262,0.0064883864083404,10,0.4901347033453402,0.2331583314018084,0.0109,-1.9625735020593764
Perm88,Polyimides and Polypyrrolones,*N1C(=O)C2=CC=C(C=C2C1=O)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(C=C1)S(=O)(=O)C1=CC=C(*)C=C1,1.222688944,0.0068101375904753,10,0.4783376581194201,0.2396843840940932,0.085,-1.0705810742857071
Perm89,Polyimides and Polypyrrolones,*N1C(=O)C2=CC=C(C=C2C1=O)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(CC2=CC=C(*)C=C2)C=C1,1.1223215407000002,0.0071505556233355,10,0.5072165603248026,0.2599619071120268,0.086,-1.0655015487564323
Perm90,Carbon Molecular Sieves,*N1C(=O)C2=CC=C(C=C2C1=O)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(OC2=CC=C(*)C=C2)C=C1,1.2190097013,0.0069122389523918,10,0.4944699476349927,0.2164072378811331,0.0099,-2.00436480540245
Perm91,Polyimides and Polypyrrolones,*N1C(=O)C2=CC=C(OC3=CC=C(OC4=CC5=C(C=C4)C(=O)N(C5=O)C4=CC=C(CC5=CC=C(*)C=C5)C=C4)C=C3)C=C2C1=O,1.1872565027000002,0.0063498462310768,10,0.5054889015870425,0.2198115189125343,0.0222,-1.6536470255493614
Perm93,Polyimides and Polypyrrolones,*N1C(=O)C2C=C3C(=O)N(C(=O)C3=CC2C1=O)C1=CC(OC2=CC(*)=CC=C2)=CC=C1,1.2065623196000002,0.0075111325991036,10,0.488103345475027,0.2343947638628705,0.008,-2.0969100130080562
