PID,Type,SMILES,density_MD,density_MD_std,n_repeat_vdw,vdw,FFV,N2,N2_log10
Perm299,Polyimides and Polypyrrolones,CC1(C)CC(C)(C2=C1C=C(Br)C(*)=C2)C1=CC=C(C=C1)N1C(=O)C2=CC=C(C=C2C1=O)C(=O)C1=CC2C(C=C1)C(=O)N(*)C2=O,1.1325405961,0.0076097467884575,10,0.479717667287716,0.2937103472693493,0.55,-0.2596373105057561
Perm311,High Temperature Polymers,CC1(C)CC(C)(C2C=C(*)C=CC12)C1=CC=C(C=C1)C1=NN=C(*)O1,1.0240618423,0.0074117292217712,10,0.5665935526902087,0.2457051113757915,3.3,0.5185139398778874
Perm320,Polyimides_NEW,CC1(C)CC2(CC(C)(C)C3=C2C=C(O)C(=C3)N2C(=O)C3C(C2=O)C2(Br)C4C(C(=O)N(*)C4=O)C3(Br)C(Br)=C2Br)C2=C1C=C(*)C(O)=C2,1.2000342327,0.0099696080729017,10,0.3862751392537288,0.3973935925509356,5.3,0.724275869600789
Perm321,Polyimides_NEW,CC1(C)CC2(CC(C)(C)C3=C2C=C(O)C(=C3)N2C(=O)C3C=CC(=CC3C2=O)C(C2=CC=C3C(=O)N(*)C(=O)C3=C2)(C(F)(F)F)C(F)(F)F)C2=C1C=C(*)C(O)=C2,1.0969323022000002,0.0093715619747671,10,0.4822216656955001,0.312346121501291,5.5,0.7403626894942439
Perm322,Polyimides and Polypyrrolones,CC1(C)CC2(CC(C)(C)C3=C2C=C(O*)C=C3)C2C=C(OC3=CC=C4C(=O)N(C(=O)C4=C3)C3=CC=CC(=C3)N3C(=O)C4=C(C=C(*)C=C4)C3=O)C=CC12,1.0844299549000005,0.0077447132718532,10,0.5290018120631975,0.2542349654429746,0.197,-0.7055337738384071
Perm323,Polyarylates,CC1(C)CC2(CC(C)(C)C3=C2C=C(OC(=O)C2=CC=C(C=C2)C(*)=O)C=C3)C2=C1C=CC(O*)=C2,1.0457694921,0.0080584238029602,10,0.5531148220627322,0.248040211496017,2.98,0.4742162640762552
Perm324,Polyarylates,CC1(C)CC2(CC(C)(C)C3=C2C=C(OC(=O)C2=CC=CC(=C2)C(*)=O)C=C3)C2=C1C=CC(O*)=C2,1.0506985649999998,0.0083821973762952,10,0.5531669621902855,0.2444247466076352,1.0,0.0
Perm325,Polyimides and Polypyrrolones,CC1(C)CC2(CC(C)(C)C3=C2C=C(OC2=C(C=C(C=C2)C2=CC=C(C=C2)N2C(=O)C4=C(C=C(C=C4)C(C4=CC=C5C(=O)N(*)C(=O)C5=C4)(C(F)(F)F)C(F)(F)F)C2=O)C(F)(F)F)C=C3)C2=C1C=CC(OC1=CC=C(C=C1C(F)(F)F)C1=CC=C(*)C=C1)=C2,1.148717795,0.0077912495308112,10,0.4798539885648866,0.2834181396339247,3.35,0.5250448070368452
Perm326,Polyimides and Polypyrrolones,CC1(C)CC2(CC(C)(C)C3=C2C=C(OC2=C(C=C(C=C2)C2=CC=C(C=C2)N2C(=O)C4=C(C=C(OC5=CC=C6C(=O)N(*)C(=O)C6=C5)C=C4)C2=O)C(F)(F)F)C=C3)C2=C1C=CC(OC1=CC=C(C=C1C(F)(F)F)C1=CC=C(*)C=C1)=C2,1.1520711148,0.0081505148154553,10,0.5003328292942847,0.2506552994590638,1.12,0.04921802267018165
Perm327,Uncategorised,CC1(C)CC2(CC(C)(C)C3=C2C=C(OC2=CC4=C(C=C2)C(=O)N(C4=O)C2=CC=CC(=C2)N2C(=O)C4=C(C=C(*)C=C4)C2=O)C=C3)C2=C1C=CC(O*)=C2,1.0854184899,0.0081198781623346,10,0.5249774271416504,0.2592337319404193,0.203,-0.6925039620867871
Perm328,Polymers with High Free Volume,CC1(C)CC2(CC(C)(C)C3=C2C=C2C(=O)N(C(=O)C2=C3)C2=CC3=C(C=C2)C(C)(C)CC32CC(C)(C)C3=C2C=C(*)C=C3)C2=CC3=C(C=C12)C(=O)N(*)C3=O,0.9501668299,0.0080504809380896,10,0.54962510576198,0.3210937923120934,65.0,1.8129133566428555
Perm343,Polycarbonates,CC1(C)CC2(CC(C)(C)C3=CC=C(OC(=O)O*)C=C23)C2C=C(*)C=CC12,1.0033913334899998,0.0082830192677713,10,0.5688441904496268,0.2579946699557224,1.373,0.1376705372367551
Perm344,Substituted Polyacetylenes,CC1(C)CCC(C)(C)C2=CC(=CC=C12)C(*)=C(*)C1=CC=CC=C1,0.8078241362199999,0.0095191175791261,10,0.6155962800210725,0.3535184068812514,2700.0,3.4313637641589874
Perm349,Polyimides and Polypyrrolones,CC1=C(*)C(C)=C(N2C(=O)C3=CC=C(C=C3C2=O)C(C2=CC3=C(C=C2)C(=O)N(*)C3=O)(C(F)(F)F)C(F)(F)F)C2=C1CCC2(C)C,1.0464084994999998,0.0088460001584938,10,0.4745897891539578,0.3544007741094014,58.6,1.7678976160180906
Perm350,Polyimides and Polypyrrolones,CC1=C(*)C(C)=C(N2C(=O)C3=CC=C(C=C3C2=O)C2=CC3=C(C=C2)C(=O)N(*)C3=O)C2=C1CCC2(C)C,0.95089052903,0.0077652565856278,10,0.5248364994967005,0.3512193263411277,22.0,1.3424226808222062
Perm351,Polyimides and Polypyrrolones,CC1=C(*)C(C)=C(N2C(=O)C3=CC=C(OC4=CC5=C(C=C4)C(=O)N(*)C5=O)C=C3C2=O)C2=C1CCC2(C)C,1.02614149803,0.0084408901631192,10,0.5179085718888742,0.3091182788591844,10.3,1.0128372247051722
