PID,Type,SMILES,density_MD,density_MD_std,n_repeat_vdw,vdw,FFV,O2,O2_log10
Perm126,Uncategorised,*OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(OC(=O)C2=CC=CC(=C2)C(*)=O)C=C1,1.1758585765000005,0.0086735732966759,10,0.5107886518973578,0.2192002177539042,2.05,0.31175386105575426
Perm127,Polysulfones,*OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C=C1,1.1684222175,0.0077854766791677,10,0.5051884895121581,0.2326445082773472,1.2,0.07918124604762482
Perm128,Polyarylates,*OC1=CC=C(C=C1)C1(OC(=O)C2=CC=CC=C12)C1=CC=C(OC(=C)C2=CC=C(C=C2)C2=CC=C(C=C2)C(*)=O)C=C1,1.1400349477,0.0074014335525158,10,0.5301916410461884,0.2142319002976107,1.6,0.2041199826559248
Perm129,Poly(aryl ethers) and Poly(aryl ether ketones),*OC1=CC=C(C=C1)C1(OC(=O)C2C=CC=CC12)C1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=C(*)C=C2)C=C1,1.135146548,0.007343530754483,10,0.5290701220369528,0.2192562405157585,0.951,-0.02181948306258609
Perm130,Poly(aryl ethers) and Poly(aryl ether ketones),*OC1=CC=C(C=C1)C1(OC(=O)C2C=CC=CC12)C1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=C(C=C2)C(=O)C2=CC=C(*)C=C2)C=C1,1.1392932008,0.0072479769648076,10,0.5292325091709092,0.2161637008570371,0.634,-0.1979107421182673
Perm131,Polysulfones,*OC1=CC=C(C=C1)C12CC3CC(C1)CC(C3)(C2)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C=C1,1.1418454259,0.0071158421857086,10,0.533403656612335,0.2082161169005322,2.55,0.4065401804339551
Perm132,Polysulfones,*OC1=CC=C(C=C1)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C=C1,1.1908224475,0.0081497068316815,10,0.5113123965349281,0.2084530366775422,1.3,0.11394335230683679
Perm133,Poly(aryl ethers) and Poly(aryl ether ketones),*OC1=CC=C(C=C1)C1=NN(C(=O)C2C=CC=CC12)C1=CC=C(C=C1)C(=O)C1=CC=C(*)C=C1,1.1400920141000002,0.007616553825791,10,0.527954907726525,0.2175076736649123,0.75,-0.12493873660829995
Perm134,Polysulfones,*OC1=CC=C(C=C1)C1=NN(C2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C(=O)C2=C1C=CC=C2,1.2088721623,0.0078387666622737,10,0.4988599830378865,0.2160246697060635,0.15,-0.8239087409443188
Perm135,Polysulfones,*OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OC2=CC3=CC(*)=CC=C3C=C2)C=C1,1.2329637754,0.0076157474459343,10,0.5018617413175694,0.1955894485051528,0.5,-0.3010299956639812
